NomeDoArquivo,Objeto,Repeticao,Classe,Fundo,Periodo,Ambiente,Integrante
20200925_144715.jpg,garfo,1,cozinha_talheres,branco,dia,dentro,Carime
20200925_144721.jpg,garfo,2,cozinha_talheres,branco,dia,dentro,Carime
20200925_144806.jpg,faca,1,cozinha_talheres,branco,dia,dentro,Carime
20200925_144808.jpg,faca,2,cozinha_talheres,branco,dia,dentro,Carime
20200925_144840.jpg,faca,3,cozinha_talheres,branco,dia,dentro,Carime
20200925_144920.jpg,colher,1,cozinha_talheres,branco,dia,dentro,Carime
20200925_144922.jpg,colher,2,cozinha_talheres,branco,dia,dentro,Carime
20200925_144928.jpg,colher,3,cozinha_talheres,branco,dia,dentro,Carime
20200925_145317.jpg,garfo,3,cozinha_talheres,branco,dia,dentro,Carime
20200925_145537.jpg,garfo,1,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145549.jpg,garfo,2,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145615.jpg,garfo,3,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145629.jpg,faca,1,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145632.jpg,faca,2,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145656.jpg,faca,3,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145727.jpg,colher,1,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145740.jpg,colher,2,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145745.jpg,colher,3,cozinha_talheres,vermelho,dia,dentro,Carime
20200925_145921.jpg,faca,1,cozinha_talheres,preto,dia,dentro,Carime
20200925_150124.jpg,faca,2,cozinha_talheres,preto,dia,dentro,Carime
20200925_150134.jpg,faca,3,cozinha_talheres,preto,dia,dentro,Carime
20200925_150519.jpg,garfo,1,cozinha_talheres,preto,dia,dentro,Carime
20200925_150524.jpg,garfo,2,cozinha_talheres,preto,dia,dentro,Carime
20200925_150535.jpg,garfo,3,cozinha_talheres,preto,dia,dentro,Carime
20200925_150625.jpg,colher,1,cozinha_talheres,preto,dia,dentro,Carime
20200925_150628.jpg,colher,2,cozinha_talheres,preto,dia,dentro,Carime
20200925_150637.jpg,colher,3,cozinha_talheres,preto,dia,dentro,Carime
20200925_150959.jpg,garfo,1,cozinha_talheres,branco,dia,fora,Carime
20200925_151004.jpg,garfo,2,cozinha_talheres,branco,dia,fora,Carime
20200925_151107.jpg,garfo,3,cozinha_talheres,branco,dia,fora,Carime
20200925_151230.jpg,colher,1,cozinha_talheres,branco,dia,fora,Carime
20200925_151235.jpg,colher,2,cozinha_talheres,branco,dia,fora,Carime
20200925_151245.jpg,colher,3,cozinha_talheres,branco,dia,fora,Carime
20200925_151307.jpg,faca,1,cozinha_talheres,branco,dia,fora,Carime
20200925_151313.jpg,faca,2,cozinha_talheres,branco,dia,fora,Carime
20200925_151358.jpg,faca,3,cozinha_talheres,branco,dia,fora,Carime
20200925_151537.jpg,garfo,1,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151601.jpg,garfo,2,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151612.jpg,garfo,3,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151744.jpg,faca,1,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151755.jpg,faca,2,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151805.jpg,faca,3,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151906.jpg,colher,1,cozinha_talheres,vermelho,dia,fora,Carime
20200925_151918.jpg,colher,2,cozinha_talheres,vermelho,dia,fora,Carime
20200925_152023.jpg,colher,3,cozinha_talheres,vermelho,dia,fora,Carime
20200925_152142.jpg,garfo,1,cozinha_talheres,preto,dia,fora,Carime
20200925_152158.jpg,garfo,2,cozinha_talheres,preto,dia,fora,Carime
20200925_152208.jpg,garfo,3,cozinha_talheres,preto,dia,fora,Carime
20200925_152303.jpg,colher,1,cozinha_talheres,preto,dia,fora,Carime
20200925_152308.jpg,colher,2,cozinha_talheres,preto,dia,fora,Carime
20200925_152313.jpg,colher,3,cozinha_talheres,preto,dia,fora,Carime
20200925_152327.jpg,faca,1,cozinha_talheres,preto,dia,fora,Carime
20200925_152333.jpg,faca,2,cozinha_talheres,preto,dia,fora,Carime
20200925_152342.jpg,faca,3,cozinha_talheres,preto,dia,fora,Carime
20200925_152534.jpg,pasta,1,higiene_bucal,branco,dia,dentro,Carime
20200925_152539.jpg,pasta,2,higiene_bucal,branco,dia,dentro,Carime
20200925_152555.jpg,pasta,3,higiene_bucal,branco,dia,dentro,Carime
20200925_152623.jpg,escova,1,higiene_bucal,branco,dia,dentro,Carime
20200925_152627.jpg,escova,2,higiene_bucal,branco,dia,dentro,Carime
20200925_152633.jpg,escova,3,higiene_bucal,branco,dia,dentro,Carime
20200925_152740.jpg,fio,1,higiene_bucal,branco,dia,dentro,Carime
20200925_152751.jpg,fio,2,higiene_bucal,branco,dia,dentro,Carime
20200925_152800.jpg,fio,3,higiene_bucal,branco,dia,dentro,Carime
20200925_152930.jpg,pasta,1,higiene_bucal,preto,dia,dentro,Carime
20200925_152939.jpg,pasta,2,higiene_bucal,preto,dia,dentro,Carime
20200925_152944.jpg,pasta,3,higiene_bucal,preto,dia,dentro,Carime
20200925_153006.jpg,escova,1,higiene_bucal,preto,dia,dentro,Carime
20200925_153012.jpg,escova,2,higiene_bucal,preto,dia,dentro,Carime
20200925_153102.jpg,escova,3,higiene_bucal,preto,dia,dentro,Carime
20200925_153120.jpg,fio,1,higiene_bucal,preto,dia,dentro,Carime
20200925_153126.jpg,fio,2,higiene_bucal,preto,dia,dentro,Carime
20200925_153131.jpg,fio,3,higiene_bucal,preto,dia,dentro,Carime
20200925_153322.jpg,escova,1,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153326.jpg,escova,2,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153334.jpg,escova,3,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153344.jpg,fio,1,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153350.jpg,fio,2,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153354.jpg,fio,3,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153408.jpg,pasta,1,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153414.jpg,pasta,2,higiene_bucal,vermelho,dia,dentro,Carime
20200925_153454.jpg,pasta,3,higiene_bucal,vermelho,dia,dentro,Carime
20200925_154830.jpg,pasta,1,higiene_bucal,preto,dia,fora,Carime
20200925_154837.jpg,pasta,2,higiene_bucal,preto,dia,fora,Carime
20200925_154858.jpg,pasta,3,higiene_bucal,preto,dia,fora,Carime
20200925_154935.jpg,escova,1,higiene_bucal,preto,dia,fora,Carime
20200925_154941.jpg,escova,2,higiene_bucal,preto,dia,fora,Carime
20200925_154945.jpg,escova,3,higiene_bucal,preto,dia,fora,Carime
20200925_155042.jpg,fio,1,higiene_bucal,preto,dia,fora,Carime
20200925_155046.jpg,fio,2,higiene_bucal,preto,dia,fora,Carime
20200925_155053.jpg,fio,3,higiene_bucal,preto,dia,fora,Carime
20200925_155212.jpg,pasta,1,higiene_bucal,vermelho,dia,fora,Carime
20200925_155224.jpg,pasta,2,higiene_bucal,vermelho,dia,fora,Carime
20200925_155248.jpg,pasta,3,higiene_bucal,vermelho,dia,fora,Carime
20200925_155327.jpg,escova,1,higiene_bucal,vermelho,dia,fora,Carime
20200925_155345.jpg,escova,2,higiene_bucal,vermelho,dia,fora,Carime
20200925_155433.jpg,escova,3,higiene_bucal,vermelho,dia,fora,Carime
20200925_155507.jpg,fio,1,higiene_bucal,vermelho,dia,fora,Carime
20200925_155512.jpg,fio,2,higiene_bucal,vermelho,dia,fora,Carime
20200925_155515.jpg,fio,3,higiene_bucal,vermelho,dia,fora,Carime
20200925_155615.jpg,escova,1,higiene_bucal,branco,dia,fora,Carime
20200925_155653.jpg,escova,2,higiene_bucal,branco,dia,fora,Carime
20200925_155704.jpg,escova,3,higiene_bucal,branco,dia,fora,Carime
20200925_155801.jpg,fio,1,higiene_bucal,branco,dia,fora,Carime
20200925_155841.jpg,fio,2,higiene_bucal,branco,dia,fora,Carime
20200925_155844.jpg,fio,3,higiene_bucal,branco,dia,fora,Carime
20200925_155944.jpg,pasta,1,higiene_bucal,branco,dia,fora,Carime
20200925_155954.jpg,pasta,2,higiene_bucal,branco,dia,fora,Carime
20200925_160024.jpg,pasta,3,higiene_bucal,branco,dia,fora,Carime
20200925_162832.jpg,lapis,1,estudos_escrita,branco,dia,fora,Carime
20200925_162840.jpg,lapis,2,estudos_escrita,branco,dia,fora,Carime
20200925_162847.jpg,lapis,3,estudos_escrita,branco,dia,fora,Carime
20200925_162954.jpg,caneta,1,estudos_escrita,branco,dia,fora,Carime
20200925_163007.jpg,caneta,2,estudos_escrita,branco,dia,fora,Carime
20200925_163015.jpg,caneta,3,estudos_escrita,branco,dia,fora,Carime
20200925_163024.jpg,marcaTexto,1,estudos_escrita,branco,dia,fora,Carime
20200925_163031.jpg,marcaTexto,2,estudos_escrita,branco,dia,fora,Carime
20200925_163037.jpg,marcaTexto,3,estudos_escrita,branco,dia,fora,Carime
20200925_163055.jpg,grande,1,estudos_livros,branco,dia,fora,Carime
20200925_163132.jpg,grande,2,estudos_livros,branco,dia,fora,Carime
20200925_163145.jpg,grande,3,estudos_livros,branco,dia,fora,Carime
20200925_163224.jpg,pequeno,1,estudos_livros,branco,dia,fora,Carime
20200925_163237.jpg,pequeno,2,estudos_livros,branco,dia,fora,Carime
20200925_163244.jpg,pequeno,3,estudos_livros,branco,dia,fora,Carime
20200925_163339.jpg,medio,1,estudos_livros,branco,dia,fora,Carime
20200925_163427.jpg,medio,2,estudos_livros,branco,dia,fora,Carime
20200925_163438.jpg,medio,3,estudos_livros,branco,dia,fora,Carime
20200925_163540.jpg,lapis,1,estudos_escrita,preto,dia,fora,Carime
20200925_163544.jpg,lapis,2,estudos_escrita,preto,dia,fora,Carime
20200925_163601.jpg,lapis,3,estudos_escrita,preto,dia,fora,Carime
20200925_163627.jpg,caneta,1,estudos_escrita,preto,dia,fora,Carime
